                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2922,                 3.6314,                 1.4002,                0.02126,                0.82428,                0.14129,                0.08894,                 1.0913,                 3.3872,                 1.2544,             0.00011817,             0.00011817,             0.00011817
                      2,                 1.2099,                 2.6791,                 1.3407,                0.94541,                0.08087,                0.30028,                0.19067,                 1.2127,                 2.8453,                 1.3572,             0.00024422,             0.00024422,             0.00024422
                      3,                 1.1589,                 1.8789,                 1.3169,                0.73027,                0.27246,                0.36196,                0.19098,                 1.3147,                 2.5162,                 1.5758,               0.000369,               0.000369,               0.000369
                      4,                 1.1358,                 1.5253,                 1.2932,                0.74503,                0.29078,                0.38707,                0.21892,                 1.2928,                 2.3561,                 1.5271,             0.00049253,             0.00049253,             0.00049253
                      5,                 1.0802,                 1.3961,                 1.2361,                0.79419,                0.36345,                0.46347,                0.28469,                  1.209,                 2.1364,                 1.4618,             0.00061479,             0.00061479,             0.00061479
                      6,                 1.0677,                 1.2798,                 1.2178,                0.73243,                0.34915,                0.43103,                0.25319,                 1.2762,                 2.1713,                 1.5167,              0.0007358,              0.0007358,              0.0007358
                      7,                 1.0531,                 1.2347,                  1.215,                0.80311,                0.32566,                0.40606,                0.24413,                 1.3764,                 2.2862,                 1.5552,             0.00085554,             0.00085554,             0.00085554
                      8,                 1.0618,                 1.1802,                 1.1894,                0.83194,                0.31044,                0.36008,                0.21968,                  1.464,                 2.3331,                  1.547,              0.0008775,              0.0008775,              0.0008775
                      9,                 1.0462,                 1.1349,                 1.1877,                0.65386,                0.37049,                 0.4186,                0.25396,                 1.4599,                 1.8752,                 1.6325,              0.0008775,              0.0008775,              0.0008775
                     10,                 1.0082,                 1.1037,                 1.1885,                0.60591,                0.35266,                0.36399,                0.21781,                 1.4754,                 2.2312,                 1.7289,               0.000873,               0.000873,               0.000873
                     11,                0.99225,                 1.0493,                 1.1718,                0.56377,                0.43035,                0.39936,                0.23479,                 1.4548,                 2.0211,                 1.6929,              0.0008685,              0.0008685,              0.0008685
                     12,                 1.0016,                 1.0455,                 1.1796,                0.56297,                0.38435,                0.36648,                0.21846,                 1.3914,                 2.0753,                 1.5867,               0.000864,               0.000864,               0.000864
                     13,                0.96817,                0.97637,                 1.1527,                0.61549,                0.45593,                0.43344,                0.25786,                 1.4166,                 1.9008,                 1.5546,              0.0008595,              0.0008595,              0.0008595
                     14,                  0.978,                0.98355,                 1.1501,                 0.6875,                0.43201,                0.48967,                0.29647,                 1.3719,                 1.7275,                 1.5457,             0.00085501,             0.00085501,             0.00085501
                     15,                0.92555,                 0.9067,                 1.1188,                0.73497,                0.44192,                0.51265,                0.30214,                 1.4171,                 1.6138,                 1.6047,             0.00085051,             0.00085051,             0.00085051
                     16,                0.92155,                0.89501,                 1.1194,                0.58626,                0.50092,                 0.4812,                0.28821,                 1.3659,                 1.5299,                  1.563,             0.00084601,             0.00084601,             0.00084601
                     17,                0.92059,                0.89764,                 1.1167,                0.71608,                 0.4124,                0.42377,                 0.2572,                 1.4552,                  1.799,                 1.6146,             0.00084151,             0.00084151,             0.00084151
                     18,                0.89748,                0.86567,                 1.1171,                0.80069,                0.44739,                0.48687,                0.29582,                 1.3863,                  1.535,                 1.5337,             0.00083701,             0.00083701,             0.00083701
                     19,                0.88827,                 0.8257,                 1.0968,                0.84171,                0.44622,                 0.5044,                0.29813,                 1.3626,                 1.4432,                 1.5396,             0.00083251,             0.00083251,             0.00083251
                     20,                 0.8745,                 0.8062,                 1.0788,                0.88517,                0.40626,                  0.532,                0.30137,                 1.4184,                 1.4824,                 1.6294,             0.00082801,             0.00082801,             0.00082801
                     21,                0.90071,                0.82289,                 1.1061,                0.57991,                0.48135,                 0.5132,                0.30603,                  1.388,                 1.5256,                 1.5484,             0.00082351,             0.00082351,             0.00082351
                     22,                0.85707,                0.78789,                  1.082,                0.83886,                0.48607,                0.54266,                0.32549,                 1.3693,                 1.2728,                 1.5835,             0.00081901,             0.00081901,             0.00081901
                     23,                0.84668,                0.77675,                 1.0841,                0.63345,                0.48002,                0.51277,                0.30464,                  1.399,                 1.3415,                 1.5629,             0.00081451,             0.00081451,             0.00081451
                     24,                0.82264,                0.74669,                 1.0604,                0.60238,                0.51336,                0.52482,                0.32204,                 1.3691,                 1.3505,                 1.5254,             0.00081001,             0.00081001,             0.00081001
                     25,                0.81816,                0.76847,                 1.0728,                0.71877,                0.52343,                0.56336,                0.33808,                 1.3955,                 1.2372,                 1.5323,             0.00080551,             0.00080551,             0.00080551
